Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Grow And Glow Health Care Hebbal Skin Hair laser and cosmetic clinic pediatric childcare clinic,Medical clinic,70,4.7,081474 71100,http://www.growandglow.in/,"=HYPERLINK(""http://www.growandglow.in/"", ""Visit Website"")",,,,,,"Lalitha Residency, near Families super market, Coffee Board Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Grow+And+Glow+Health+Care+Hebbal+Skin+Hair+laser+and+cosmetic+clinic+pediatric+childcare+clinic/data=!4m7!3m6!1s0x3bae17827980bdad:0xf4f2b344213faba5!8m2!3d13.0490178!4d77.6037566!16s%2Fg%2F11bv3vh81t!19sChIJrb2AeYIXrjsRpas_IUSz8vQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Clinic,General hospital,120,5.0,,,,,,,,,"8, Dinnur Main Rd, Narayanappa Garden, Govindaraj Garden, Hebbal, Bengaluru, Karnataka 560032","=HYPERLINK(""https://www.google.com/maps/place/Clinic/data=!4m7!3m6!1s0x3bae17007709ddd3:0x92da28aec991782c!8m2!3d13.023128!4d77.60041!16s%2Fg%2F11yttx2hsk!19sChIJ090JdwAXrjsRLHiRya4o2pI?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Lakshmi Clinic,Medical clinic,120,5.0,,,,,,,,,"2JX4+CGW, 3rd Main Rd, Coffee Board Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Lakshmi+Clinic/data=!4m7!3m6!1s0x3bae1782eb4ea4af:0xa57e8816ed7c063d!8m2!3d13.0486008!4d77.6063291!16s%2Fg%2F11nhhzw303!19sChIJr6RO64IXrjsRPQZ87RaIfqU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Vivaa multi-speciality clinic,Family practice physician,120,5.0,,,,,,,,,"15, 4th Cross Rd, CIL Layout, Patel Muniyappa Layout, Cholanayakanahalli, Hebbal, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Vivaa+multi-speciality+clinic/data=!4m7!3m6!1s0x3bae1700145f1725:0x85fa8cfebc81ade8!8m2!3d13.0351786!4d77.6002859!16s%2Fg%2F11x2v7h6wl!19sChIJJRdfFAAXrjsR6K2BvP6M-oU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Atharva Multispecialty Clinic,Medical clinic,120,4.9,091108 59237,,,,,,,,"20/2, Guddadhalli Main Rd, near Aryan tower, beside Reliance Smart Point, Kempanna Layout, Guddadahalli, Hebbal, Bengaluru, Karnataka 560032","=HYPERLINK(""https://www.google.com/maps/place/Atharva+Multispecialty+Clinic/data=!4m7!3m6!1s0x3bae1701656c8705:0x369d382524eef073!8m2!3d13.0389645!4d77.5978066!16s%2Fg%2F11ld934rj5!19sChIJBYdsZQEXrjsRc_DuJCU4nTY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
