Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Grow And Glow Health Care Hebbal Skin Hair laser and cosmetic clinic pediatric childcare clinic,Medical clinic,70,4.7,081474 71100,http://www.growandglow.in/,"=HYPERLINK(""http://www.growandglow.in/"", ""Visit Website"")",,,,,,"Lalitha Residency, near Families super market, Coffee Board Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Grow+And+Glow+Health+Care+Hebbal+Skin+Hair+laser+and+cosmetic+clinic+pediatric+childcare+clinic/data=!4m7!3m6!1s0x3bae17827980bdad:0xf4f2b344213faba5!8m2!3d13.0490178!4d77.6037566!16s%2Fg%2F11bv3vh81t!19sChIJrb2AeYIXrjsRpas_IUSz8vQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Shanthi Multi Speciality Clinic,Women's health clinic,120,4.8,091082 88115,,,,,,,,"Shop #2, #10, 6th Cross, SSA Road, Hebbal, RT Nagar Post, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Shanthi+Multi+Speciality+Clinic/data=!4m7!3m6!1s0x3bae1797b5016d21:0x7e2e0f97e956532f!8m2!3d13.0367858!4d77.5936577!16s%2Fg%2F11cm9c7400!19sChIJIW0BtZcXrjsRL1NW6ZcPLn4?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Vivaa multi-speciality clinic,Family practice physician,120,5.0,,,,,,,,,"15, 4th Cross Rd, CIL Layout, Patel Muniyappa Layout, Cholanayakanahalli, Hebbal, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Vivaa+multi-speciality+clinic/data=!4m7!3m6!1s0x3bae1700145f1725:0x85fa8cfebc81ade8!8m2!3d13.0351786!4d77.6002859!16s%2Fg%2F11x2v7h6wl!19sChIJJRdfFAAXrjsR6K2BvP6M-oU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Dattatreya Multispeciality Clinic,Medical clinic,120,4.6,098806 44753,,,,,,,,"Manjunatha Complex, 3, Shop. 1, 4th Main, SSA Rd, Vinayakanagar, Hebbal, Bengaluru, Karnataka 560032","=HYPERLINK(""https://www.google.com/maps/place/Dattatreya+Multispeciality+Clinic/data=!4m7!3m6!1s0x3bae17965d5e49e1:0x6f3635a378da7f88!8m2!3d13.0370923!4d77.5920512!16s%2Fg%2F1pt_w3xlr!19sChIJ4UleXZYXrjsRiH_aeKM1Nm8?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Google Maps can't reach the internet,,120,,,,,,,,,,,"=HYPERLINK(""https://www.google.com/maps/place/Karunya+Clinic/data=!4m7!3m6!1s0x3bae17969db53f71:0xf50a0a36bffe33d7!8m2!3d13.0572745!4d77.6274436!16s%2Fg%2F1tnjh00w!19sChIJcT-1nZYXrjsR1zP-vzYKCvU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
