Business Name,Category,Lead Score,Rating,Phone,Website,Website Link,Email,LinkedIn,Facebook,Instagram,Twitter,Address,Maps
Grow And Glow Health Care Hebbal Skin Hair laser and cosmetic clinic pediatric childcare clinic,Medical clinic,70,4.7,081474 71100,http://www.growandglow.in/,"=HYPERLINK(""http://www.growandglow.in/"", ""Visit Website"")",,,,,,"Lalitha Residency, near Families super market, Coffee Board Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Grow+And+Glow+Health+Care+Hebbal+Skin+Hair+laser+and+cosmetic+clinic+pediatric+childcare+clinic/data=!4m7!3m6!1s0x3bae17827980bdad:0xf4f2b344213faba5!8m2!3d13.0490178!4d77.6037566!16s%2Fg%2F11bv3vh81t!19sChIJrb2AeYIXrjsRpas_IUSz8vQ?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
"Wellstar polyclinic & Diagnostic centre - Physician, Gynecologist, Orthopedician and Dermatologist On Apollo 24|7",Medical clinic,120,4.9,063620 64109,,,,,,,,"45/2, 8th A Cross Rd, Kanaka Nagar, Hebbal, Bengaluru, Karnataka 560045","=HYPERLINK(""https://www.google.com/maps/place/Wellstar+polyclinic+%26+Diagnostic+centre+-+Physician,+Gynecologist,+Orthopedician+and+Dermatologist+On+Apollo+24%7C7/data=!4m7!3m6!1s0x3bae176813b15899:0x1b8478f9f4cadf04!8m2!3d13.0373512!4d77.6052187!16s%2Fg%2F11v0sqq33x!19sChIJmVixE2gXrjsRBN_K9Pl4hBs?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Lakshmi Clinic,Medical clinic,120,5.0,,,,,,,,,"2JX4+CGW, 3rd Main Rd, Coffee Board Layout, Hebbal Kempapura, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Lakshmi+Clinic/data=!4m7!3m6!1s0x3bae1782eb4ea4af:0xa57e8816ed7c063d!8m2!3d13.0486008!4d77.6063291!16s%2Fg%2F11nhhzw303!19sChIJr6RO64IXrjsRPQZ87RaIfqU?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
First Care Clinic and Medical,Medical clinic,120,5.0,063624 50960,,,,,,,,"7th A Cross Rd, 1st R Block, RT Nagar, Sultanpalya, Hebbal, Bengaluru, Karnataka 560032","=HYPERLINK(""https://www.google.com/maps/place/First+Care+Clinic+and+Medical/data=!4m7!3m6!1s0x3bae1700632057d5:0x6ba6336c700801f!8m2!3d13.0275278!4d77.6043734!16s%2Fg%2F11m6v36qgc!19sChIJ1VcgYwAXrjsRH4AAxzZjugY?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
Shanthi Multi Speciality Clinic,Women's health clinic,120,4.8,091082 88115,,,,,,,,"Shop #2, #10, 6th Cross, SSA Road, Hebbal, RT Nagar Post, Bengaluru, Karnataka 560024","=HYPERLINK(""https://www.google.com/maps/place/Shanthi+Multi+Speciality+Clinic/data=!4m7!3m6!1s0x3bae1797b5016d21:0x7e2e0f97e956532f!8m2!3d13.0367858!4d77.5936577!16s%2Fg%2F11cm9c7400!19sChIJIW0BtZcXrjsRL1NW6ZcPLn4?authuser=0&hl=en&rclk=1"", ""View on Maps"")"
